settlement_ru,district_ru,street_ru,housenumber,current_zone,central_km,bam_km,current_expected_km,in_city_km,outside_city_km,crosses_boundary,reenters_city,first_exit_lonlat,eq_km_A,recalculated_zone_A,qa_flag
Бендеры,Хомутяновка,Киевская улица,37,3,4.5922,3.5624,4.552,4.5888,0.0,False,False,,4.4344,2,zone_move_3->2
Бендеры,Хомутяновка,Киевская улица,43,3,4.3796,3.4059,4.345,4.3767,0.0,False,False,,4.2307,2,zone_move_3->2
Бендеры,Хомутяновка,Киевская улица,45,3,4.3595,3.426,4.329,4.3565,0.0,False,False,,4.2165,2,zone_move_3->2
Бендеры,Хомутяновка,Киевская улица,138,3,4.462,3.3235,4.411,4.459,0.0,False,False,,4.2883,2,zone_move_3->2
Бендеры,Хомутяновка,Киевская улица,140,3,4.3803,3.4052,4.346,4.3773,0.0,False,False,,4.2311,2,zone_move_3->2
Бендеры,Хомутяновка,Киевская улица,142,3,4.3567,3.4288,4.326,4.3538,0.0,False,False,,4.2147,2,zone_move_3->2
Бендеры,Хомутяновка,Комсомольская улица,1,1,1.5774,4.3128,1.914,1.5749,0.0,False,False,,1.9848,1,
Бендеры,Хомутяновка,Комсомольская улица,2,1,1.5245,4.2599,1.837,1.5222,0.0,False,False,,1.9321,1,
Бендеры,Хомутяновка,Комсомольская улица,2,1,1.5011,4.2365,1.837,1.4989,0.0,False,False,,1.9088,1,
Бендеры,Хомутяновка,Комсомольская улица,2б,1,1.5976,4.333,1.934,1.5951,0.0,False,False,,2.005,1,
Бендеры,Хомутяновка,Комсомольская улица,4,1,1.5217,4.2571,1.858,1.5194,0.0,False,False,,1.9293,1,
Бендеры,Хомутяновка,Комсомольская улица,5,1,1.5176,4.2531,1.854,1.5154,0.0,False,False,,1.9253,1,
Бендеры,Хомутяновка,Комсомольская улица,6,1,1.5512,4.2867,1.888,1.549,0.0,False,False,,1.9589,1,
Бендеры,Хомутяновка,Комсомольская улица,7A,1,1.4449,4.1804,1.781,1.4428,0.0,False,False,,1.8527,1,
Бендеры,Хомутяновка,Комсомольская улица,8,1,1.566,4.3015,1.902,1.5638,0.0,False,False,,1.9737,1,
Бендеры,Хомутяновка,Комсомольская улица,10,1,1.566,4.3015,1.902,1.5638,0.0,False,False,,1.9737,1,
Бендеры,Хомутяновка,Комсомольская улица,44,1,1.4077,4.1432,1.744,1.4057,0.0,False,False,,1.8156,1,
Бендеры,Хомутяновка,Лесовой переулок,2,4,6.0645,3.1291,5.714,6.06,0.0,False,False,,5.6196,2,zone_move_4->2
Бендеры,Хомутяновка,Лесовой переулок,3,4,6.0295,3.0941,5.679,6.025,0.0,False,False,,5.5846,2,zone_move_4->2
Бендеры,Хомутяновка,Лесовой переулок,5,4,6.0782,3.1428,5.727,6.0736,0.0,False,False,,5.6332,2,zone_move_4->2
Бендеры,Хомутяновка,Лесовой переулок,7,4,6.0099,3.0746,5.66,6.0055,0.0,False,False,,5.5651,2,zone_move_4->2
Бендеры,Хомутяновка,Лесовой переулок,22,4,6.0989,3.1635,5.748,6.0943,0.0,False,False,,5.6539,2,zone_move_4->2
Бендеры,Хомутяновка,Лесовой переулок,22а,4,6.1103,3.1749,5.759,6.1056,0.0,False,False,,5.6652,2,zone_move_4->2
Бендеры,Хомутяновка,Молодёжная улица,1,3,5.6937,2.4535,5.297,5.6903,0.0,False,False,,5.2043,2,zone_move_3->2
Бендеры,Хомутяновка,Молодёжная улица,9,3,5.8656,2.504,5.451,5.8618,0.0,False,False,,5.3576,2,zone_move_3->2
Бендеры,Хомутяновка,Молодёжная улица,11,3,5.8658,2.5038,5.451,5.862,0.0,False,False,,5.3577,2,zone_move_3->2
Бендеры,Хомутяновка,Молодёжная улица,12,3,5.7326,2.4924,5.336,5.7291,0.0,False,False,,5.2431,2,zone_move_3->2
Бендеры,Хомутяновка,Молодёжная улица,14,3,5.7334,2.4932,5.337,5.7299,0.0,False,False,,5.2439,2,zone_move_3->2
Бендеры,Хомутяновка,Молодёжная улица,15,3,5.7681,2.5279,5.371,5.7645,0.0,False,False,,5.2785,2,zone_move_3->2
Бендеры,Хомутяновка,Молодёжная улица,17,3,5.7844,2.5443,5.388,5.7808,0.0,False,False,,5.2948,2,zone_move_3->2
Бендеры,Хомутяновка,Молодёжная улица,52,3,5.4708,2.3147,5.087,5.4679,0.0,False,False,,4.9945,2,zone_move_3->2
Бендеры,Хомутяновка,Молодёжная улица,52а/1,3,5.6292,2.389,5.233,5.6259,0.0,False,False,,5.1399,2,zone_move_3->2
Бендеры,Хомутяновка,Московская улица,2,1,1.3123,4.0477,1.649,1.31,0.0,False,False,,1.7199,1,
Бендеры,Хомутяновка,Московская улица,9,1,1.2893,4.0247,1.625,1.2871,0.0,False,False,,1.697,1,
Бендеры,Хомутяновка,Пионерская улица,3,4,6.3295,2.446,5.837,6.3256,0.0,False,False,,5.7431,2,zone_move_4->2
Бендеры,Хомутяновка,Пионерская улица,5,4,6.3689,2.4854,5.823,6.3649,0.0,False,False,,5.7824,2,zone_move_4->2
Бендеры,Хомутяновка,Пионерская улица,5,4,6.3156,2.4321,5.823,6.3117,0.0,False,False,,5.7292,2,zone_move_4->2
Бендеры,Хомутяновка,Пионерская улица,7,4,6.3808,2.4974,5.888,6.3769,0.0,False,False,,5.7944,2,zone_move_4->2
Бендеры,Хомутяновка,Пионерская улица,9,4,6.3397,2.4562,5.81,6.3358,0.0,False,False,,5.7533,2,zone_move_4->2
Бендеры,Хомутяновка,Протягайловская улица,12,3,4.7031,4.3411,4.729,4.6984,0.0,False,False,,4.6442,2,zone_move_3->2
Бендеры,Хомутяновка,Протягайловская улица,13,3,4.2855,4.6682,4.387,4.2813,0.0,False,False,,4.3388,2,zone_move_3->2
Бендеры,Хомутяновка,Протягайловская улица,16,3,4.3544,4.7371,4.455,4.3502,0.0,False,False,,4.4077,2,zone_move_3->2
Бендеры,Хомутяновка,Протягайловская улица,17,3,4.3813,4.3583,4.442,4.377,0.0,False,False,,4.3735,2,zone_move_3->2
Бендеры,Хомутяновка,Протягайловская улица,18,3,4.3765,4.3632,4.438,4.3721,0.0,False,False,,4.3701,2,zone_move_3->2
Бендеры,Хомутяновка,Протягайловская улица,19,3,4.4022,4.3375,4.459,4.3979,0.0,False,False,,4.3882,2,zone_move_3->2
