settlement_ru,district_ru,street_ru,housenumber,current_zone,central_km,bam_km,current_expected_km,in_city_km,outside_city_km,crosses_boundary,reenters_city,first_exit_lonlat,eq_km_A,recalculated_zone_A,qa_flag
Бендеры,Борисовка,Пионерская улица,21,4,6.794,2.9105,6.301,6.7894,0.0,False,False,,6.2069,3,zone_move_4->3
Бендеры,Борисовка,Пионерская улица,23,4,6.7681,2.8846,6.275,6.7635,0.0,False,False,,6.181,3,zone_move_4->3
Бендеры,Борисовка,Пионерская улица,27,4,6.9328,3.0493,6.257,6.928,0.0,False,False,,6.3455,3,zone_move_4->3
Бендеры,Борисовка,Пионерская улица,27,4,6.8993,3.0158,6.257,6.8945,0.0,False,False,,6.312,3,zone_move_4->3
Бендеры,Борисовка,Пионерская улица,27,4,6.8705,2.987,6.257,6.8658,0.0,False,False,,6.2833,3,zone_move_4->3
Бендеры,Борисовка,Пионерская улица,27,4,6.7499,2.8664,6.257,6.7453,0.0,False,False,,6.1628,3,zone_move_4->3
Бендеры,Борисовка,Пионерская улица,31,4,6.9582,3.0747,6.465,6.9533,0.0,False,False,,6.3708,3,zone_move_4->3
Бендеры,Борисовка,Пионерская улица,33,4,6.975,3.0915,6.482,6.9701,0.0,False,False,,6.3876,3,zone_move_4->3
Бендеры,Борисовка,Пионерская улица,35,4,6.8606,2.9771,6.368,6.8559,0.0,False,False,,6.2734,3,zone_move_4->3
Бендеры,Борисовка,Пионерская улица,37,4,6.8814,2.9979,6.388,6.8767,0.0,False,False,,6.2942,3,zone_move_4->3
Бендеры,Борисовка,Пионерский переулок,7,4,6.0966,2.2132,5.604,6.0933,0.0,False,False,,5.5108,2,zone_move_4->2
Бендеры,Борисовка,Фонтанная улица,5,4,6.6232,1.4138,5.931,6.6199,0.0,False,False,,5.8386,2,zone_move_4->2
Бендеры,Борисовка,Фонтанная улица,8,4,6.5431,1.46,5.87,6.5397,0.0,False,False,,5.7773,2,zone_move_4->2
Бендеры,Борисовка,Фонтанная улица,18,4,6.4721,1.531,5.82,6.4686,0.0,False,False,,5.7275,2,zone_move_4->2
Бендеры,Борисовка,Фонтанная улица,22,4,6.4304,1.5727,5.791,6.427,0.0,False,False,,5.6984,2,zone_move_4->2
Бендеры,Борисовка,Фонтанная улица,24,4,6.3672,1.8664,5.782,6.3637,0.0,False,False,,5.6886,2,zone_move_4->2
Бендеры,Борисовка,Фонтанная улица,30,4,6.2634,1.8922,5.697,6.2601,0.0,False,False,,5.6044,2,zone_move_4->2
Бендеры,Борисовка,Фонтанная улица,35,4,6.3735,1.8138,5.788,6.3701,0.0,False,False,,5.6862,2,zone_move_4->2
Бендеры,Борисовка,Фонтанная улица,36,4,6.1812,2.008,5.645,6.1778,0.0,False,False,,5.5519,2,zone_move_4->2
Бендеры,Борисовка,Фонтанная улица,41,4,6.2877,1.868,5.714,6.2843,0.0,False,False,,5.6214,2,zone_move_4->2
Бендеры,Борисовка,Фонтанная улица,41,4,6.2882,1.8674,5.714,6.2849,0.0,False,False,,5.6218,2,zone_move_4->2
Бендеры,Борисовка,Фонтанная улица,43,4,6.2744,1.8812,5.705,6.2711,0.0,False,False,,5.6121,2,zone_move_4->2
Бендеры,Борисовка,Фонтанная улица,59,4,6.1914,2.0182,5.655,6.1881,0.0,False,False,,5.5622,2,zone_move_4->2
Бендеры,Борисовка,Фонтанная улица,61,4,6.1762,2.003,5.64,6.1729,0.0,False,False,,5.547,2,zone_move_4->2
Бендеры,Борисовка,Хотинская улица,4,2,4.3616,1.5166,4.0,4.3563,0.0,False,False,,3.9299,2,
Бендеры,Борисовка,Хотинская улица,4а,3,4.811,1.4759,4.4,4.8049,0.0,False,False,,4.3051,2,zone_move_3->2
Бендеры,Борисовка,Хотинская улица,4б,3,4.8267,1.4916,4.415,4.8206,0.0,False,False,,4.3208,2,zone_move_3->2
Бендеры,Борисовка,Хотинская улица,6,2,4.3074,0.9723,3.897,4.3022,0.0,False,False,,3.8024,2,
Бендеры,Борисовка,Хотинская улица,18,3,4.7825,1.4474,4.372,4.7764,0.0,False,False,,4.2766,2,zone_move_3->2
Бендеры,Борисовка,Хотинская улица,49,2,4.4407,1.1411,4.034,4.4354,0.0,False,False,,3.9409,2,
Бендеры,Борисовка,Хотинская улица,51,2,4.4483,1.1487,4.041,4.4429,0.0,False,False,,3.9484,2,
Бендеры,Борисовка,Хотинская улица,53,3,4.5063,1.2067,4.099,4.5008,0.0,False,False,,4.0063,2,zone_move_3->2
Бендеры,Борисовка,Хотинская улица,55,3,4.4992,1.1996,4.092,4.4936,0.0,False,False,,3.9991,2,zone_move_3->2
Бендеры,Борисовка,Хотинская улица,73,3,5.0561,1.721,4.237,5.0499,0.0,False,False,,4.5501,2,zone_move_3->2
Бендеры,Борисовка,Хотинская улица,77,3,5.0138,1.6787,4.603,5.0076,0.0,False,False,,4.5078,2,zone_move_3->2
Бендеры,Борисовка,Хотинская улица,144,3,4.6933,1.3582,4.283,4.6874,0.0,False,False,,4.1876,2,zone_move_3->2
Бендеры,Борисовка,Хотинская улица,146,3,4.7089,1.3738,4.298,4.703,0.0,False,False,,4.2032,2,zone_move_3->2
Бендеры,Борисовка,Хотинская улица,148,3,4.7286,1.3935,4.318,4.7227,0.0,False,False,,4.2229,2,zone_move_3->2
Бендеры,Борисовка,Хотинская улица,150,3,4.7408,1.4057,4.33,4.7348,0.0,False,False,,4.235,2,zone_move_3->2
Бендеры,Борисовка,Хотинская улица,152,3,4.8783,1.5432,4.467,4.8721,0.0,False,False,,4.3723,2,zone_move_3->2
Бендеры,Борисовка,улица 12 Октября,9,4,6.127,2.0242,5.601,6.1238,0.0,False,False,,5.5084,2,zone_move_4->2
