settlement,osm_type,osm_id,name,name_ru,name_ro,official_name,alt_name,old_name,ru_display,ru_source,ru_status,road_class,is_address_street,needs_name_classification_review
bender,way,224623030,Каховская улица,Каховская улица,Strada Cahovscaia,,,,Каховская улица,name:ru,ok,address_street,True,False
bender,way,224623587,Каховский тупик,Каховский тупик,,,,,Каховский тупик,name:ru,ok,address_street,True,False
bender,way,87497014,Киевская улица,Киевская улица,Strada Kiev,,,,Киевская улица,name:ru,ok,address_street,True,True
bender,way,115331401,Киркаештская улица,Киркаештская улица,Strada Chircăiești,,,,Киркаештская улица,name:ru,ok,address_street,True,False
bender,way,87506340,Кирпичная улица,Кирпичная улица,Strada Kirpicinaia,,,,Кирпичная улица,name:ru,ok,address_street,True,False
bender,way,115331349,Кирпичный переулок,Кирпичный переулок,Stradela Kirpicinîi,,,,Кирпичный переулок,name:ru,ok,address_street,True,False
bender,way,161126058,Кицканская улица,Кицканская улица,Strada Chițcani,,,,Кицканская улица,name:ru,ok,address_street,True,False
bender,way,44537119,Кицканский переулок,Кицканский переулок,Stradela Chițcani,,,,Кицканский переулок,name:ru,ok,address_street,True,False
bender,way,28796004,Кишинёв-Тирасполь,Кишинёв-Тирасполь,Chișinău-Tiraspol,,,,Кишинёв-Тирасполь,name:ru,ok,intercity,False,False
bender,way,41749663,Кишинёвская улица,Кишинёвская улица,Strada Chișinăului,,,,Кишинёвская улица,name:ru,ok,address_street,True,False
bender,way,184989519,Кишинёвский переулок,Кишинёвский переулок,Stradela Chișinăului,,,,Кишинёвский переулок,name:ru,ok,address_street,True,False
bender,way,223670398,Кишинёвский тупик,Кишинёвский тупик,Fundătura Chișinăului,,,,Кишинёвский тупик,name:ru,ok,address_street,True,False
bender,way,225113349,Колодезная улица,Колодезная улица,Strada Colodeznaia,,,,Колодезная улица,name:ru,ok,address_street,True,False
bender,way,87506313,Колодезный переулок,Колодезный переулок,,,,,Колодезный переулок,name:ru,ok,address_street,True,False
bender,way,136388032,Колхозная улица,Колхозная улица,Strada Colhozului,,,,Колхозная улица,name:ru,ok,address_street,True,False
bender,way,161631166,Колхозный переулок,Колхозный переулок,Stradela Colhozului,,,,Колхозный переулок,name:ru,ok,address_street,True,False
bender,way,63221762,Коммунистическая улица,Коммунистическая улица,Strada Comunismului,,,,Коммунистическая улица,name:ru,ok,address_street,True,False
bender,way,91430810,Комсомольская улица,Комсомольская улица,Strada Comsomolului,,,,Комсомольская улица,name:ru,ok,address_street,True,True
bender,way,223677899,Кооперативный тупик,Кооперативный тупик,,,,,Кооперативный тупик,name:ru,ok,address_street,True,False
bender,way,159915378,Красивая улица,Красивая улица,Strada Frumoasă,,,,Красивая улица,name:ru,ok,address_street,True,False
bender,way,87506358,Красноармейская улица,Красноармейская улица,Strada Krasnoarmeiscaia,,,,Красноармейская улица,name:ru,ok,address_street,True,False
bender,way,96404887,Красноармейский переулок,Красноармейский переулок,,,,,Красноармейский переулок,name:ru,ok,address_street,True,False
bender,way,41749664,Ленинградская улица,Ленинградская улица,Strada Leningradului,,,,Ленинградская улица,name:ru,ok,address_street,True,False
bender,way,224944806,Лесовой переулок,Лесовой переулок,Stradela Pădurii,,,,Лесовой переулок,name:ru,ok,address_street,True,False
bender,way,87497001,Мельничный переулок,Мельничный переулок,,,,,Мельничный переулок,name:ru,ok,address_street,True,False
bender,way,161126079,Молдавская улица,Молдавская улица,Strada Moldovenească,,,,Молдавская улица,name:ru,ok,address_street,True,False
bender,way,161630391,Молодёжная улица,Молодёжная улица,Strada Tineretului,,,,Молодёжная улица,name:ru,ok,address_street,True,True
bender,way,41749657,Московская улица,Московская улица,Strada Moscovei,,,,Московская улица,name:ru,ok,address_street,True,False
bender,way,733032838,Мостик,Мостик,,,,,Мостик,name:ru,ok,bridge,False,False
bender,way,224631135,Новый проезд,Новый проезд,Pasajul Nou,,,,Новый проезд,name:ru,ok,address_street,True,False
bender,way,161630392,Одесская улица,Одесская улица,Strada Odessa,,,,Одесская улица,name:ru,ok,address_street,True,False
bender,way,115331460,Октябрьская улица,Октябрьская улица,Strada Octombrie,,,,Октябрьская улица,name:ru,ok,address_street,True,False
bender,way,87506326,Оргеевский переулок,Оргеевский переулок,Stradela Orheiului,,,,Оргеевский переулок,name:ru,ok,address_street,True,False
bender,way,160164527,Парканская улица,Парканская улица,Strada Parcani,,,,Парканская улица,name:ru,ok,address_street,True,False
bender,way,87506335,Первомайская улица,Первомайская улица,Strada 1 Mai,,,Аккерманская ул.,Первомайская улица,name:ru,ok,address_street,True,False
bender,way,87506319,Первомайский переулок,Первомайский переулок,Stradela 1 Mai,,,,Первомайский переулок,name:ru,ok,address_street,True,False
bender,way,115331340,Песчанная улица,Песчанная улица,Strada Pesciannaia,,,,Песчанная улица,name:ru,ok,address_street,True,False
bender,way,225206119,Песчанный переулок,Песчанный переулок,,,,,Песчанный переулок,name:ru,ok,address_street,True,False
bender,way,222832796,Пивоваренный переулок,Пивоваренный переулок,Stradela Pivovarennîi,,,,Пивоваренный переулок,name:ru,ok,address_street,True,False
bender,way,209668183,Пионерская улица,Пионерская улица,Strada Pionierilor,,,,Пионерская улица,name:ru,ok,address_street,True,True
