control_id,uid,district,target_district,street,housenumber,destination_lat,destination_lon,control_reason,checked_date,yandex_fastest_distance_km,yandex_fastest_duration_min,yandex_alternative_distance_km,yandex_alternative_duration_min,yandex_main_streets,yandex_district_entry,yandex_rail_crossing_or_bridge,matches_owner_corridor,current_zone,current_osrm_km,our_engine_km,expected_entry_our_engine,yandex_minus_osrm_km,yandex_osrm_ratio,calibration_status,owner_review_required
MY-021,w306081930,Парканы,Парканы,Светлая улица,5,46.81967,29.5265,граница Zone3/4,,,,,,,,,,4,5.541,5.544,Пар-011,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-022,n2323152058,Парканы,Парканы,улица Горького,1,46.83546,29.52788,дом у въезда Пар-002 (Кишинёв-Тирасполь),,,,,,,,,,3,4.5512,4.5517,Пар-002 Кишинёв-Тирасполь,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-023,n2323343711,Парканы,Парканы,улица Ленина,1,46.83471,29.50995,3 ближайших к центру,,,,,,,,,,2,3.1663,3.1701,Пар-000 Бендерский мост,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-024,n2457586634,Парканы,Парканы,улица Ленина,3,46.83459,29.50999,3 ближайших к центру,,,,,,,,,,2,3.1808,3.1854,Пар-000 Бендерский мост,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-025,n2457586635,Парканы,Парканы,улица Ленина,5,46.83442,29.51002,3 ближайших к центру,,,,,,,,,,2,3.1997,3.2041,Пар-000 Бендерский мост,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-026,n2323152132,Парканы,Парканы,улица Маяковского,165,46.82127,29.52726,граница Zone3/4,,,,,,,,,,3,5.5399,5.5385,Пар-011,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-027,n2459721898,Парканы,Парканы,улица Петра Николаева,39,46.84688,29.50622,3 средних,,,,,,,,,,3,5.1822,4.6256,Пар-001 Бендерский мост,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-028,n2459459685,Парканы,Парканы,улица Пушкина,72,46.8288,29.51517,граница Zone2/3,,,,,,,,,,2,4.0393,4.0344,Пар-012,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-029,n2459760263,Парканы,Парканы,улица Романенко,14,46.84806,29.51491,3 средних,,,,,,,,,,3,5.1822,4.9614,Пар-002 Кишинёв-Тирасполь,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-030,n2460035286,Парканы,Парканы,улица Свердлова,100,46.8609,29.50956,3 самых дальних,,,,,,,,,,4,7.5602,6.5029,Пар-010,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-031,n2460033782,Парканы,Парканы,улица Свердлова,53,46.86074,29.50932,3 самых дальних,,,,,,,,,,4,7.5746,6.4926,Пар-010,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-032,n2460035283,Парканы,Парканы,улица Свердлова,98,46.86077,29.50958,3 самых дальних,,,,,,,,,,4,7.5748,6.4886,Пар-010,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-033,w284686410,Парканы,Парканы,улица Сергея Лазо,5,46.83887,29.51625,граница Zone2/3,,,,,,,,,,3,4.0409,4.0196,Пар-002 Кишинёв-Тирасполь,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
