uid,settlement_ru,district_ru,street_ru,housenumber,current_zone,why,fastest_distance_km,fastest_duration_s,min_alt_distance_km,n_alternatives,straight_line_km,detour_ratio,in_city_km,outside_city_km,snap_distance_m,nearest_road_highway,flags,verdict
w318701780,Бендеры,Борисовка,Бельцкая улица,37,2,district_Борисовка,4.084,370.9,4.084,1,1.889,2.162,4.0794,0.0,18.2,tertiary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w318701795,Бендеры,Борисовка,Бельцкая улица,41,2,district_Борисовка,4.1116,373,4.1116,1,1.892,2.173,4.1069,0.0,20.8,tertiary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w318701803,Бендеры,Борисовка,Бельцкая улица,43,2,district_Борисовка,4.1371,374.9,4.1371,1,1.89,2.189,4.1323,0.0,18.0,tertiary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w318701805,Бендеры,Борисовка,Бельцкая улица,45,2,district_Борисовка,4.1568,376.4,4.1568,1,1.89,2.199,4.1519,0.0,17.2,tertiary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w532689732,Бендеры,Борисовка,Бельцкая улица,49,2,district_Борисовка,4.1936,379.2,4.1936,1,1.898,2.21,4.1887,0.0,22.2,tertiary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w318701862,Бендеры,Борисовка,Бельцкая улица,51,2,district_Борисовка,4.2129,380.6,4.2129,1,1.902,2.215,4.2079,0.0,25.5,tertiary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w318702082,Бендеры,Борисовка,Бельцкая улица,55,2,district_Борисовка,4.2759,385.3,4.2759,1,1.911,2.238,4.2708,0.0,27.3,tertiary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w318702083,Бендеры,Борисовка,Бельцкая улица,57,2,district_Борисовка,4.2963,386.8,4.2963,1,1.904,2.256,4.2911,0.0,18.5,tertiary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w318185749,Бендеры,Борисовка,Бельцкая улица,92,3,district_Борисовка,4.5238,406.3,4.5238,1,1.98,2.284,4.518,0.0,27.1,primary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w318072708,Бендеры,Борисовка,Бельцкая улица,94,3,district_Борисовка,4.5099,406.7,4.5099,1,2.003,2.252,4.504,0.0,16.0,tertiary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
