settlement,street_ru,osm_ids,confirmed_addresses,confirmed_residential_buildings,probable_residential_buildings,apartment_buildings,nonresidential_buildings,outbuildings,abandoned_or_ruin,official_web_evidence,civic_or_commercial_pois,connected_to_core,distance_to_core_by_road_km,demand_tier,affects_zone_pricing,service_status,reason
parkany,улица Свердлова,83039141,121,122,2,0,0,0,0,False,1,True,0.0,A,True,standard,confirmed_addresses>=5
parkany,улица Сергея Лазо,83039149,86,136,16,0,0,0,0,False,0,True,0.0,A,True,standard,confirmed_addresses>=5
parkany,улица Суворова,83039111;238062002,249,259,117,0,0,2,0,False,0,True,0.0,A,True,standard,confirmed_addresses>=5
parkany,улица Фрунзе,83039128,172,224,56,0,1,1,0,True,5,True,0.0,A,True,standard,confirmed_addresses>=5
parkany,улица Чапаева,83039100,217,316,136,0,0,1,0,False,1,True,0.0,A,True,standard,confirmed_addresses>=5
parkany,улица Чехова,83039113,123,152,87,0,0,3,0,False,0,True,0.0,A,True,standard,confirmed_addresses>=5
parkany,улица Чкалова,83039147,116,186,63,0,0,3,0,False,0,True,0.0,A,True,standard,confirmed_addresses>=5
parkany,улица Шевченко,83039153;482003377;605027891,62,125,15,0,1,2,0,False,1,True,0.0,A,True,standard,confirmed_addresses>=5
parkany,улица Энгельса,83039157,97,172,86,0,0,1,0,False,0,True,0.0,A,True,standard,confirmed_addresses>=5
protyagailovka,Абрикосовая,224903383;1540927204,0,0,2,0,0,0,0,False,0,False,,C,False,no_delivery,at_most_2_probable_residences
