uid,district,street,house,current_zone,snap_m,true_shortest_km,current_osrm_km,current_minus_true_km,overstated_gt_10pct,owner_review_required
w315193157,Хомутяновка,Железнодорожный тупик,76,3,22.3,4.9438,5.1298,0.186,False,True
w315193131,Хомутяновка,Железнодорожный тупик,78,3,22.8,4.9438,5.1322,0.1884,False,True
w91850354,Хомутяновка,Кагульская улица,2,3,17.7,5.4536,5.6821,0.2285,False,True
w209273586,Хомутяновка,Кагульская улица,4,4,29.4,5.6137,5.975,0.3613,False,True
w352110827,Хомутяновка,Кагульская улица,5,3,35.2,5.6137,5.802,0.1883,False,True
w352111432,Хомутяновка,Кагульская улица,7,3,23.0,5.6137,5.8226,0.2089,False,True
w352111431,Хомутяновка,Кагульская улица,9,3,21.3,5.6137,5.8427,0.229,False,True
w352064500,Хомутяновка,Кагульская улица,11,3,34.3,5.6137,5.8659,0.2522,False,True
w528507076,Хомутяновка,Кагульская улица,13,3,22.8,5.6916,5.8941,0.2025,False,True
w302368617,Хомутяновка,Киевская улица,1,3,32.7,4.5809,4.7145,0.1336,False,True
w303915694,Хомутяновка,Киевская улица,3,3,24.0,4.5043,4.6846,0.1803,False,True
w161058108,Хомутяновка,Киевская улица,6,3,29.4,4.486,4.6243,0.1383,False,True
w303915689,Хомутяновка,Киевская улица,7,3,30.9,4.4695,4.6051,0.1356,False,True
w303915687,Хомутяновка,Киевская улица,8а,3,40.8,4.486,4.6118,0.1258,False,True
w303915686,Хомутяновка,Киевская улица,9,3,16.7,4.4071,4.5763,0.1692,False,True
w302066925,Хомутяновка,Киевская улица,10,3,38.3,4.3386,4.4665,0.1279,False,True
w301982088,Хомутяновка,Киевская улица,11,3,25.2,4.5043,4.6919,0.1876,False,True
w303915681,Хомутяновка,Киевская улица,11,3,21.9,4.4071,4.5556,0.1485,False,True
w302066923,Хомутяновка,Киевская улица,12,3,26.3,4.2437,4.4292,0.1855,False,True
w303915677,Хомутяновка,Киевская улица,17,3,30.2,4.3386,4.4769,0.1383,False,True
w304088436,Хомутяновка,Киевская улица,19,3,41.1,4.2906,4.4639,0.1733,False,True
w304088437,Хомутяновка,Киевская улица,21,3,43.9,4.2437,4.4469,0.2032,False,True
w302066924,Хомутяновка,Киевская улица,22/1,3,24.2,4.3386,4.485,0.1464,False,True
w304088440,Хомутяновка,Киевская улица,23,3,18.7,4.2437,4.3959,0.1522,False,True
w310488383,Хомутяновка,Киевская улица,25,3,22.2,4.2437,4.4245,0.1808,False,True
w310488384,Хомутяновка,Киевская улица,27,3,46.9,4.2437,4.4511,0.2074,False,True
w310488385,Хомутяновка,Киевская улица,29,3,46.3,4.3446,4.4659,0.1213,False,True
w310488387,Хомутяновка,Киевская улица,31,3,26.8,4.3446,4.5275,0.1829,False,True
w318406775,Хомутяновка,Киевская улица,33,3,48.8,4.3446,4.5554,0.2108,False,True
w318406776,Хомутяновка,Киевская улица,33а,3,34.2,4.3446,4.5396,0.195,False,True
w318406774,Хомутяновка,Киевская улица,35,3,40.5,4.4465,4.5744,0.1279,False,True
w209287696,Хомутяновка,Киевская улица,36,3,38.3,4.4465,4.5785,0.132,False,True
w318406772,Хомутяновка,Киевская улица,37,3,22.9,4.4465,4.5922,0.1457,False,True
n2322107937,Хомутяновка,Киевская улица,43,3,38.8,4.2437,4.3796,0.1359,False,True
w304088444,Хомутяновка,Киевская улица,45,3,52.3,4.2437,4.3595,0.1158,False,True
w302066929,Хомутяновка,Киевская улица,138,3,58.9,4.2437,4.462,0.2183,False,True
n2334239345,Хомутяновка,Киевская улица,140,3,30.6,4.2437,4.3803,0.1366,False,True
w310488388,Хомутяновка,Киевская улица,142,3,56.6,4.2437,4.3567,0.113,False,True
w209267167,Борисовка,Кишинёвская улица,1,4,44.6,4.2284,6.5654,2.337,True,True
w209267130,Борисовка,Кишинёвская улица,1а,4,21.7,4.2868,6.4418,2.155,True,True
w209267161,Борисовка,Кишинёвская улица,1б,4,15.0,4.2735,6.4244,2.1509,True,True
w316027129,Борисовка,Кишинёвская улица,3,4,31.1,4.2085,6.4032,2.1947,True,True
n2334331709,Борисовка,Кишинёвская улица,4,4,11.4,4.5836,7.1895,2.6059,True,True
w316027128,Борисовка,Кишинёвская улица,5,4,14.0,4.191,6.412,2.221,True,True
w316027126,Борисовка,Кишинёвская улица,7,4,17.6,4.2403,6.3984,2.1581,True,True
w303915656,Борисовка,Кишинёвская улица,8,4,14.8,4.6348,7.2233,2.5885,True,True
n5172819425,Борисовка,Кишинёвская улица,8/1,4,11.0,4.5836,7.1805,2.5969,True,True
n5172818452,Борисовка,Кишинёвская улица,8/2,4,12.7,4.5836,7.1897,2.6061,True,True
w316027125,Борисовка,Кишинёвская улица,9,4,19.7,4.2284,6.3794,2.151,True,True
w303915657,Борисовка,Кишинёвская улица,10,4,21.6,4.5836,7.1944,2.6108,True,True
w303915659,Борисовка,Кишинёвская улица,12,4,39.5,4.5554,7.1232,2.5678,True,True
n5172818844,Борисовка,Кишинёвская улица,12/3,4,41.2,4.5554,7.1161,2.5607,True,True
w303915660,Борисовка,Кишинёвская улица,14,4,27.8,4.5723,7.1602,2.5879,True,True
n2334331706,Борисовка,Кишинёвская улица,16,4,35.1,4.5425,7.0981,2.5556,True,True
n2334331710,Борисовка,Кишинёвская улица,20,4,17.0,4.48,7.0864,2.6064,True,True
n2334331711,Борисовка,Кишинёвская улица,24,4,38.3,4.48,7.0235,2.5435,True,True
n5172818456,Борисовка,Кишинёвская улица,34/2,4,41.1,4.3688,6.9046,2.5358,True,True
w316027473,Борисовка,Кишинёвская улица,54,2,29.1,4.0883,4.4466,0.3583,False,True
w316027884,Борисовка,Кишинёвская улица,60,4,30.5,4.1796,6.6352,2.4556,True,True
n2325366591,Борисовка,Кишинёвская улица,76,4,13.6,4.3217,6.4699,2.1482,True,True
n4886201637,Борисовка,Кишинёвская улица,78,4,43.8,4.308,6.4648,2.1568,True,True
n2334331712,Борисовка,Кишинёвский переулок,32,4,26.0,4.3688,6.9763,2.6075,True,True
n2334331713,Борисовка,Кишинёвский переулок,34,4,20.2,4.3688,6.979,2.6102,True,True
w316027138,Борисовка,Кишинёвский переулок,38,4,44.8,4.4235,7.0179,2.5944,True,True
w319620046,Борисовка,Кишинёвский тупик,1,2,28.3,4.0703,4.4645,0.3942,False,True
w352667518,Борисовка,Кишинёвский тупик,1,2,19.9,4.0703,4.4511,0.3808,False,True
w352148079,Борисовка,Кишинёвский тупик,2,3,11.4,3.9792,4.5233,0.5441,True,True
w352110238,Борисовка,Кишинёвский тупик,2а,3,8.9,4.0112,4.4984,0.4872,True,True
w352155392,Борисовка,Кишинёвский тупик,3,2,30.9,4.0112,4.4695,0.4583,True,True
w352148078,Борисовка,Кишинёвский тупик,4,3,11.2,3.9638,4.5483,0.5845,True,True
w352110239,Борисовка,Кишинёвский тупик,5,2,17.2,4.0112,4.4851,0.4739,True,True
w352155391,Борисовка,Кишинёвский тупик,7,3,16.2,4.0112,4.5033,0.4921,True,True
w352148076,Борисовка,Кишинёвский тупик,8а,2,15.4,3.9088,4.2193,0.3105,False,True
n2325729708,Борисовка,Кишинёвский тупик,10,2,15.0,3.8816,4.1961,0.3145,False,True
w161058098,Хомутяновка,Комсомольская улица,1,1,15.5,1.489,1.5774,0.0884,False,True
w211496794,Хомутяновка,Комсомольская улица,2,1,43.0,1.4763,1.5245,0.0482,False,True
w446490135,Хомутяновка,Комсомольская улица,2,1,23.9,1.4763,1.5011,0.0248,False,True
w295088581,Хомутяновка,Комсомольская улица,2б,1,21.1,1.5552,1.5976,0.0424,False,True
w211496742,Хомутяновка,Комсомольская улица,4,1,47.3,1.4763,1.5217,0.0454,False,True
w211496784,Хомутяновка,Комсомольская улица,5,1,21.0,1.5242,1.5176,-0.0066,False,True
