address_id,street,house_number,router_distance_km,nearest_threshold_km,distance_to_threshold_m,provisional_zone,neighbor_zone_discontinuity,snap_risk,manual_review_required,reason
w306081804,улица Фрунзе,131,5.5063,5.577,70.7,Zone 3,False,False,True,WITHIN_100M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
w306081930,Светлая улица,5,5.5410,5.577,36.0,Zone 3,False,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
w306081939,улица Фрунзе,129,5.5231,5.577,53.9,Zone 3,False,False,True,WITHIN_100M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
w306081940,улица Фрунзе,127,5.5362,5.577,40.8,Zone 3,False,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
w306082136,улица Фрунзе,125,5.5472,5.577,29.8,Zone 3,False,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
w306082138,улица Фрунзе,123,5.5696,5.577,7.4,Zone 3,False,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
w306082139,улица Фрунзе,121,5.5566,5.577,20.4,Zone 3,False,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
w306082141,улица Фрунзе,119,5.5392,5.577,37.8,Zone 3,False,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
w306082333,улица Фрунзе,108,5.4731,5.577,103.9,Zone 3,False,False,True,WITHIN_3_PERCENT_OF_THRESHOLD
w306082337,улица Фрунзе,103,5.4205,5.577,156.5,Zone 3,False,False,True,WITHIN_3_PERCENT_OF_THRESHOLD
w306217586,Донецкая улица,102,2.1909,2.424,233.1,Zone 1,True,False,True,NEIGHBOR_ZONE_DISCONTINUITY
w306217596,Донецкая улица,9,2.3372,2.424,86.8,Zone 1,False,False,True,WITHIN_100M_OF_THRESHOLD
w306217598,Донецкая улица,7,2.3684,2.424,55.6,Zone 1,False,False,True,WITHIN_100M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
w306217600,Донецкая улица,5,2.3896,2.424,34.4,Zone 1,False,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
w306217601,Донецкая улица,3,2.4059,2.424,18.1,Zone 1,False,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
w306217615,улица 7 Ноября,21,2.3259,2.424,98.1,Zone 1,False,False,True,WITHIN_100M_OF_THRESHOLD
w306217616,улица 7 Ноября,19,2.3419,2.424,82.1,Zone 1,False,False,True,WITHIN_100M_OF_THRESHOLD
w306217617,улица 7 Ноября,17,2.3549,2.424,69.1,Zone 1,False,False,True,WITHIN_100M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
w306217618,улица 7 Ноября,15,2.3679,2.424,56.1,Zone 1,False,False,True,WITHIN_100M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
w306217620,улица 7 Ноября,13,2.3816,2.424,42.4,Zone 1,False,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
w306217622,Донецкая улица,16,2.3348,2.424,89.2,Zone 1,False,False,True,WITHIN_100M_OF_THRESHOLD
