uid,address,territory,is_city,route_km,base_price,external_status,external_km,external_surcharge,reference_price,old_k4_zone_id,proposed_zone
n2321749479,"Гиска, Госпитальная улица, 37",Гиска,False,6.366,27.464,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749482,"Гиска, Госпитальная улица, 8",Гиска,False,6.385,27.54,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749483,"Гиска, Госпитальная улица, 10а",Гиска,False,6.322,27.288,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749484,"Гиска, Госпитальная улица, 12",Гиска,False,6.17,26.68,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749485,"Гиска, Госпитальная улица, 16",Гиска,False,6.229,26.916,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749486,"Гиска, Госпитальная улица, 14а",Гиска,False,6.177,26.708,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749487,"Гиска, улица Ленина, 15",Гиска,False,5.714,24.856,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749488,"Гиска, улица Курило, 13",Гиска,False,5.771,25.084,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749489,"Гиска, улица Курило, 20",Гиска,False,5.77,25.08,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749490,"Гиска, улица Курило, 2",Гиска,False,5.969,25.876,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749491,"Гиска, улица Курило, 1",Гиска,False,5.961,25.844,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749492,"Гиска, улица Ленина, 100",Гиска,False,5.809,25.236,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749493,"Гиска, улица Ленина, 102",Гиска,False,5.878,25.512,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749494,"Гиска, улица Бориса Главана, 89",Гиска,False,5.804,25.216,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749495,"Гиска, улица Бориса Главана, 91",Гиска,False,5.812,25.248,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321833111,"Бендеры, улица Толстого, 21",Бендеры,True,5.725,24.9,n/a (city),0.0,0.0,24.9,3,3
n2321834521,"Бендеры, улица Лермонтова, 18",Бендеры,True,5.562,24.248,n/a (city),0.0,0.0,24.248,3,3
n2321834524,"Бендеры, улица Лермонтова, 39",Бендеры,True,5.42,23.68,n/a (city),0.0,0.0,23.68,3,3
n2321834527,"Бендеры, улица Лермонтова, 38",Бендеры,True,5.414,23.656,n/a (city),0.0,0.0,23.656,3,3
n2321834534,"Бендеры, улица Лермонтова, 41",Бендеры,True,5.375,23.5,n/a (city),0.0,0.0,23.5,3,3
n2321855312,"Бендеры, улица Лермонтова, 56",Бендеры,True,5.202,22.808,n/a (city),0.0,0.0,22.808,3,3
n2321855313,"Бендеры, улица Лермонтова, 60",Бендеры,True,5.16,22.64,n/a (city),0.0,0.0,22.64,3,2
n2321855335,"Бендеры, улица Добродеева, 37",Бендеры,True,5.328,23.312,n/a (city),0.0,0.0,23.312,3,3
n2321855336,"Бендеры, улица Добродеева, 35",Бендеры,True,5.264,23.056,n/a (city),0.0,0.0,23.056,3,3
n2321951516,"Бендеры, улица Старого, 40",Бендеры,True,5.228,22.912,n/a (city),0.0,0.0,22.912,3,3
n2321951519,"Бендеры, Гербовецкая улица, 43",Бендеры,True,5.294,23.176,n/a (city),0.0,0.0,23.176,3,3
n2321951523,"Бендеры, улица Чехова, 30",Бендеры,True,5.1,22.4,n/a (city),0.0,0.0,22.4,3,2
n2321993999,"Бендеры, Путейская улица, 2",Бендеры,True,5.136,22.544,n/a (city),0.0,0.0,22.544,3,2
n2321994003,"Бендеры, улица Тургенева, 1",Бендеры,True,5.071,22.284,n/a (city),0.0,0.0,22.284,3,2
n2321994021,"Бендеры, улица Бородина, 17",Бендеры,True,5.038,22.152,n/a (city),0.0,0.0,22.152,3,2
n2321994025,"Бендеры, переулок Бородина, 9",Бендеры,True,5.266,23.064,n/a (city),0.0,0.0,23.064,3,3
n2322107937,"Бендеры, Киевская улица, 43",Бендеры,True,4.379,19.516,n/a (city),0.0,0.0,19.516,3,2
n2322107940,"Бендеры, улица Ивана Шимкова, 2",Бендеры,True,6.515,28.06,n/a (city),0.0,0.0,28.06,4,3
n2322107942,"Бендеры, улица Ивана Шимкова, 22",Бендеры,True,6.325,27.3,n/a (city),0.0,0.0,27.3,4,3
n2322107948,"Бендеры, Фонтанная улица, 8",Бендеры,True,6.543,28.172,n/a (city),0.0,0.0,28.172,4,3
n2322107950,"Бендеры, Фонтанная улица, 22",Бендеры,True,6.431,27.724,n/a (city),0.0,0.0,27.724,4,3
n2322107952,"Бендеры, Фонтанная улица, 35",Бендеры,True,6.373,27.492,n/a (city),0.0,0.0,27.492,4,3
