model_id,metric,method,k,zone_id,lower_bound,upper_bound,all_address_count,all_population_share,city_address_count,city_population_share,economic_scope,median_route_km,median_effective_km,median_taxi_reference,candidate_delivery_fee_rub,client_median_saving_rub,driver_median_gap_rub,boundary_instability_count,confidence,notes
CITY_K6R_kmeans,fixed_origin_km,kmeans,6,4,2.974,4.165,,,612,0.1258,CITY_DEPLOYABLE,3.572,,,,,,1232,CITY_CANDIDATE,city deployable (fixed-origin km; outside_km=0)
CITY_K6R_kmeans,fixed_origin_km,kmeans,6,5,4.165,5.339,,,1128,0.2318,CITY_DEPLOYABLE,4.684,,,,,,1232,CITY_CANDIDATE,city deployable (fixed-origin km; outside_km=0)
CITY_K6R_kmeans,fixed_origin_km,kmeans,6,6,5.339,,,,687,0.1412,CITY_DEPLOYABLE,5.843,,,,,,1232,CITY_CANDIDATE,city deployable (fixed-origin km; outside_km=0)
CITY_K6R_dp_optimal_jenks,fixed_origin_km,dp_optimal_jenks,6,1,0.0,1.675,,,1322,0.2717,CITY_DEPLOYABLE,1.125,1.125,18.0,11,7.0,2.0,1151,CITY_CANDIDATE,city deployable; BALANCED fee shown (see zone-policy-prices for all 3)
CITY_K6R_dp_optimal_jenks,fixed_origin_km,dp_optimal_jenks,6,2,1.675,2.825,,,1052,0.2162,CITY_DEPLOYABLE,2.252,2.252,18.0,11,7.0,2.0,1151,CITY_CANDIDATE,city deployable; BALANCED fee shown (see zone-policy-prices for all 3)
CITY_K6R_dp_optimal_jenks,fixed_origin_km,dp_optimal_jenks,6,3,2.825,3.925,,,532,0.1093,CITY_DEPLOYABLE,3.429,3.429,20.57,17,3.57,-1.43,1151,CITY_CANDIDATE,city deployable; BALANCED fee shown (see zone-policy-prices for all 3)
CITY_K6R_dp_optimal_jenks,fixed_origin_km,dp_optimal_jenks,6,4,3.925,4.875,,,873,0.1794,CITY_DEPLOYABLE,4.425,4.425,26.55,22,4.55,-0.45,1151,CITY_CANDIDATE,city deployable; BALANCED fee shown (see zone-policy-prices for all 3)
CITY_K6R_dp_optimal_jenks,fixed_origin_km,dp_optimal_jenks,6,5,4.875,5.825,,,736,0.1513,CITY_DEPLOYABLE,5.302,5.302,31.81,27,4.81,-0.19,1151,CITY_CANDIDATE,city deployable; BALANCED fee shown (see zone-policy-prices for all 3)
CITY_K6R_dp_optimal_jenks,fixed_origin_km,dp_optimal_jenks,6,6,5.825,,,,351,0.0721,CITY_DEPLOYABLE,6.24,6.24,37.44,34,3.44,-1.56,1151,CITY_CANDIDATE,city deployable; BALANCED fee shown (see zone-policy-prices for all 3)
CITY_K6R_business,fixed_origin_km,business_constrained(min_share=0.12),6,1,0.0,1.625,,,1278,0.2626,CITY_DEPLOYABLE,1.109,1.109,18.0,11,7.0,2.0,1299,CITY_CANDIDATE,city deployable; BALANCED fee shown (see zone-policy-prices for all 3)
