address_id,territory,district,street,house_number,lat,lon,route_km,route_duration_min,route_metric_status,in_city_km,outside_city_km,outside_split_status,boundary_anchor_id,effective_km_1667,taxi_model_a_reference_rub,taxi_model_b_reference_rub,driver_take_fixed_a_rub,driver_take_percent_a_rub,driver_best_taxi_take_a_rub,current_zone_id,data_confidence,evidence_notes
w302366071,Бендеры,,Песчанная улица,3,46.81212,29.48194,2.278,,expected_km_osrm,2.278,0.0,CITY_ALL_IN,,2.278,18.0,18.0,13.0,11.7,13.0,1,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302366072,Бендеры,,Песчанная улица,5,46.81218,29.48212,2.293,,expected_km_osrm,2.293,0.0,CITY_ALL_IN,,2.293,18.0,18.0,13.0,11.7,13.0,1,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302368270,Бендеры,,Путейская улица,20,46.8182,29.46616,2.728,,expected_km_osrm,2.728,0.0,CITY_ALL_IN,,2.728,18.0,18.0,13.0,11.7,13.0,2,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302368615,Бендеры,,улица Георге Асаке,22,46.81789,29.46607,2.661,,expected_km_osrm,2.661,0.0,CITY_ALL_IN,,2.661,18.0,18.0,13.0,11.7,13.0,2,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302368616,Бендеры,,улица Георге Асаке,24,46.81782,29.46582,2.664,,expected_km_osrm,2.664,0.0,CITY_ALL_IN,,2.664,18.0,18.0,13.0,11.7,13.0,2,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302368617,Бендеры,,Киевская улица,1,46.81855,29.46388,4.674,,expected_km_osrm,4.674,0.0,CITY_ALL_IN,,4.674,28.04,28.04,23.04,18.23,23.04,3,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302369878,Бендеры,,Треугольный переулок,6,46.82427,29.46414,4.97,,expected_km_osrm,4.97,0.0,CITY_ALL_IN,,4.97,29.82,29.82,24.82,19.38,24.82,3,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302369879,Бендеры,,Треугольный переулок,4,46.82421,29.46435,4.987,,expected_km_osrm,4.987,0.0,CITY_ALL_IN,,4.987,29.92,29.92,24.92,19.45,24.92,3,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302369880,Бендеры,,улица Бородина,1,46.82467,29.46393,5.027,,expected_km_osrm,5.027,0.0,CITY_ALL_IN,,5.027,30.16,30.16,25.16,19.6,25.16,3,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302370519,Бендеры,,улица Дзержинского,ПОСТ ЭЦ 1,46.83129,29.47511,1.464,,expected_km_osrm,1.464,0.0,CITY_ALL_IN,,1.464,18.0,18.0,13.0,11.7,13.0,1,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302370538,Бендеры,,улица Дзержинского,6,46.83252,29.47715,1.585,,expected_km_osrm,1.585,0.0,CITY_ALL_IN,,1.585,18.0,18.0,13.0,11.7,13.0,1,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302370866,Бендеры,,Коммунистическая улица,22,46.82895,29.48033,0.976,,expected_km_osrm,0.976,0.0,CITY_ALL_IN,,0.976,18.0,18.0,13.0,11.7,13.0,1,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302375946,Бендеры,,Первомайская улица,24,46.81672,29.46892,2.423,,expected_km_osrm,2.423,0.0,CITY_ALL_IN,,2.423,18.0,18.0,13.0,11.7,13.0,1,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302375950,Бендеры,,Первомайская улица,22,46.81689,29.46883,2.437,,expected_km_osrm,2.437,0.0,CITY_ALL_IN,,2.437,18.0,18.0,13.0,11.7,13.0,2,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302375951,Бендеры,,Первомайская улица,20,46.81697,29.46867,2.451,,expected_km_osrm,2.451,0.0,CITY_ALL_IN,,2.451,18.0,18.0,13.0,11.7,13.0,2,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302375953,Бендеры,,Первомайская улица,20/2,46.81683,29.4685,2.457,,expected_km_osrm,2.457,0.0,CITY_ALL_IN,,2.457,18.0,18.0,13.0,11.7,13.0,2,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302375955,Бендеры,,Дубоссарская улица,24,46.8158,29.46896,2.749,,expected_km_osrm,2.749,0.0,CITY_ALL_IN,,2.749,18.0,18.0,13.0,11.7,13.0,2,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302375956,Бендеры,,Дубоссарская улица,22,46.81591,29.46881,2.733,,expected_km_osrm,2.733,0.0,CITY_ALL_IN,,2.733,18.0,18.0,13.0,11.7,13.0,2,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302375958,Бендеры,,Дубоссарская улица,20,46.81593,29.46857,2.716,,expected_km_osrm,2.716,0.0,CITY_ALL_IN,,2.716,18.0,18.0,13.0,11.7,13.0,2,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302375960,Бендеры,,Дубоссарская улица,18,46.81603,29.46845,2.702,,expected_km_osrm,2.702,0.0,CITY_ALL_IN,,2.702,18.0,18.0,13.0,11.7,13.0,2,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302375963,Бендеры,,Дубоссарская улица,16,46.81607,29.46824,2.686,,expected_km_osrm,2.686,0.0,CITY_ALL_IN,,2.686,18.0,18.0,13.0,11.7,13.0,2,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302375967,Бендеры,,Дубоссарская улица,14,46.81613,29.46806,2.67,,expected_km_osrm,2.67,0.0,CITY_ALL_IN,,2.67,18.0,18.0,13.0,11.7,13.0,2,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302375968,Бендеры,,Дубоссарская улица,12,46.8162,29.4679,2.656,,expected_km_osrm,2.656,0.0,CITY_ALL_IN,,2.656,18.0,18.0,13.0,11.7,13.0,2,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302375970,Бендеры,,Дубоссарская улица,10,46.81624,29.46772,2.642,,expected_km_osrm,2.642,0.0,CITY_ALL_IN,,2.642,18.0,18.0,13.0,11.7,13.0,2,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302375971,Бендеры,,Дубоссарская улица,8,46.81632,29.46753,2.625,,expected_km_osrm,2.625,0.0,CITY_ALL_IN,,2.625,18.0,18.0,13.0,11.7,13.0,2,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302375973,Бендеры,,Дубоссарская улица,11,46.81644,29.46805,2.654,,expected_km_osrm,2.654,0.0,CITY_ALL_IN,,2.654,18.0,18.0,13.0,11.7,13.0,2,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
