address_id,territory,street,house_number,lat,lon,source_object_type,normalized_object_type,deliverable_address_status,exclusion_reason,manual_review_required
n2323152138,Парканы,улица Котовского,31,46.83224,29.51829,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152139,Парканы,улица Котовского,26,46.83251,29.5177,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152140,Парканы,улица Котовского,28,46.83216,29.51781,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152145,Парканы,Пионерская улица,100а,46.82676,29.52091,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152146,Парканы,улица Котовского,102,46.8265,29.5212,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152148,Парканы,Пионерская улица,26,46.8261,29.51989,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152149,Парканы,Комсомольская улица,109,46.82633,29.5192,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152150,Парканы,Комсомольская улица,111,46.82599,29.51951,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152151,Парканы,Комсомольская улица,37,46.83211,29.51584,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152152,Парканы,Комсомольская улица,39,46.83172,29.516,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152154,Парканы,Комсомольская улица,42,46.83159,29.51541,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152155,Парканы,Пионерская улица,98,46.82624,29.51868,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152157,Парканы,Коммунистическая улица,41,46.82472,29.51984,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152159,Парканы,Комсомольская улица,100,46.82391,29.52039,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323214983,Бендеры,улица Шестакова,66,46.81784,29.48478,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323214991,Бендеры,улица Шестакова,61,46.81864,29.48545,standalone_address_node,ADDRESS_NODE_WITHOUT_BUILDING_TYPE,UNKNOWN_REQUIRES_REVIEW,source_does_not_identify_a_building,True
n2323220898,Бендеры,улица Шестакова,13,46.82499,29.48859,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323227009,Бендеры,улица Щорса,3,46.82754,29.48847,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323261760,Бендеры,Комсомольская улица,58,46.81807,29.48917,standalone_address_node,ADDRESS_NODE_WITHOUT_BUILDING_TYPE,UNKNOWN_REQUIRES_REVIEW,source_does_not_identify_a_building,True
n2323263963,Бендеры,Московская улица,58,46.81969,29.48738,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323270281,Бендеры,Молдавская улица,15А,46.817,29.48989,standalone_address_node,ADDRESS_NODE_WITHOUT_BUILDING_TYPE,UNKNOWN_REQUIRES_REVIEW,source_does_not_identify_a_building,True
