uid,address,territory,status,canonical_route_km,route_km,route_km_duration_opt,straight_km,crosses_checkpoint,external_km,base_price,external_surcharge,reference_price,internal_zone,routing_status,old_k4_zone_id
w293713883,"Бендеры, улица Кирова, 37",Бендеры,routed,0.693,0.6929,0.6929,0.539,False,0.0,14.0,0.0,14.0,1,routed,1
w293713884,"Бендеры, улица Кирова, 35",Бендеры,routed,0.705,0.7042,0.7042,0.542,False,0.0,14.0,0.0,14.0,1,routed,1
w293715050,"Бендеры, улица Сергея Лазо, 17",Бендеры,routed,0.775,0.775,0.775,0.567,False,0.0,14.0,0.0,14.0,1,routed,1
w293715055,"Бендеры, улица Кирова, 33",Бендеры,routed,0.719,0.719,0.719,0.533,False,0.0,14.0,0.0,14.0,1,routed,1
w293715056,"Бендеры, улица Кирова, 29",Бендеры,routed,0.733,0.7321,0.7321,0.564,False,0.0,14.0,0.0,14.0,1,routed,1
w293715059,"Бендеры, улица Кирова, 27",Бендеры,routed,0.762,0.7624,0.7624,0.573,False,0.0,14.0,0.0,14.0,1,routed,1
w293715060,"Бендеры, улица Кирова, 25",Бендеры,routed,0.784,0.7835,0.7835,0.597,False,0.0,14.0,0.0,14.0,1,routed,1
w294043065,"Парканы, улица Сергея Лазо, 16",Парканы,routed,4.15,4.1503,4.1503,3.094,True,2.317,18.601,5.0,23.601,2,routed,3
w294043068,"Парканы, улица Сергея Лазо, 15",Парканы,routed,4.169,4.1697,4.1697,3.06,True,2.336,18.679,5.0,23.679,2,routed,3
w294043073,"Парканы, улица Сергея Лазо, 17",Парканы,routed,4.196,4.1959,4.1959,3.071,True,2.362,18.784,5.0,23.784,2,routed,3
w294043076,"Парканы, улица Сергея Лазо, 19",Парканы,routed,4.221,4.2213,4.2213,3.073,True,2.388,18.885,5.0,23.885,2,routed,3
w294043077,"Парканы, улица Сергея Лазо, 21",Парканы,routed,4.237,4.2375,4.2375,3.079,True,2.404,18.95,5.0,23.95,2,routed,3
w294074601,"Бендеры, переулок Суворова, 111",Бендеры,routed,0.93,0.9296,0.9296,0.842,False,0.0,14.0,0.0,14.0,1,routed,1
w294680388,"Бендеры, улица Кавриаго, 97",Бендеры,routed,1.049,1.0492,1.0492,0.688,False,0.0,14.0,0.0,14.0,1,routed,1
w294680389,"Бендеры, улица Кавриаго, 95",Бендеры,routed,1.069,1.0697,1.0697,0.669,False,0.0,14.0,0.0,14.0,1,routed,1
w294680392,"Бендеры, улица Кавриаго, 99",Бендеры,routed,0.742,0.7418,0.7418,0.656,False,0.0,14.0,0.0,14.0,1,routed,1
w294680393,"Бендеры, улица Кавриаго, 101",Бендеры,routed,0.759,0.7593,0.7593,0.674,False,0.0,14.0,0.0,14.0,1,routed,1
w294680394,"Бендеры, улица Кавриаго, 103",Бендеры,routed,0.771,0.772,0.772,0.686,False,0.0,14.0,0.0,14.0,1,routed,1
w294680395,"Бендеры, улица Кавриаго, 105",Бендеры,routed,0.784,0.7849,0.7849,0.698,False,0.0,14.0,0.0,14.0,1,routed,1
w294680397,"Бендеры, улица Кавриаго, 29",Бендеры,routed,0.879,0.8795,0.8795,0.722,False,0.0,14.0,0.0,14.0,1,routed,1
w294942534,"Парканы, улица Сергея Лазо, 39",Парканы,routed,4.473,4.4725,4.4725,3.151,True,2.639,19.89,5.278,25.168,2,routed,3
w294956273,"Парканы, улица Сергея Лазо, 41",Парканы,routed,4.501,4.501,4.501,3.17,True,2.668,20.004,5.335,25.339,2,routed,3
w294956276,"Парканы, улица Сергея Лазо, 43",Парканы,routed,4.535,4.535,4.535,3.172,True,2.702,20.14,5.403,25.543,2,routed,3
w294956277,"Парканы, улица Сергея Лазо, 47",Парканы,routed,4.582,4.5818,4.5818,3.194,True,2.748,20.327,5.497,25.824,2,routed,3
w294956278,"Парканы, улица Сергея Лазо, 45",Парканы,routed,4.568,4.5679,4.5679,3.185,True,2.734,20.272,5.469,25.74,2,routed,3
w294963846,"Парканы, улица Димитрова, 29а",Парканы,routed,3.738,3.7381,3.7381,2.595,True,1.905,16.952,5.0,21.952,2,routed,2
w295003771,"Бендеры, улица Кавриаго, 80",Бендеры,routed,1.063,1.0635,1.0635,0.656,False,0.0,14.0,0.0,14.0,1,routed,1
w295003772,"Бендеры, улица Кавриаго, 82",Бендеры,routed,1.046,1.0464,1.0464,0.674,False,0.0,14.0,0.0,14.0,1,routed,1
w295003774,"Бендеры, улица Кавриаго, 84",Бендеры,routed,1.036,1.036,1.036,0.687,False,0.0,14.0,0.0,14.0,1,routed,1
w295003775,"Бендеры, улица Кавриаго, 86",Бендеры,routed,1.02,1.0202,1.0202,0.699,False,0.0,14.0,0.0,14.0,1,routed,1
w295003778,"Бендеры, улица Кавриаго, 31",Бендеры,routed,0.905,0.9046,0.9046,0.722,False,0.0,14.0,0.0,14.0,1,routed,1
w295003779,"Бендеры, улица Кавриаго, 33",Бендеры,routed,0.924,0.9239,0.9239,0.728,False,0.0,14.0,0.0,14.0,1,routed,1
w295003780,"Бендеры, улица Кавриаго, 33A",Бендеры,routed,0.945,0.9448,0.9448,0.736,False,0.0,14.0,0.0,14.0,1,routed,1
w295003782,"Бендеры, улица Кавриаго, 35A",Бендеры,routed,0.996,0.9963,0.9963,0.752,False,0.0,14.0,0.0,14.0,1,routed,1
w295003786,"Бендеры, улица Кавриаго, 37",Бендеры,routed,1.042,1.042,1.042,0.757,False,0.0,14.0,0.0,14.0,1,routed,1
w295003788,"Бендеры, улица Кавриаго, 73",Бендеры,routed,1.149,1.1182,1.1182,0.809,False,0.0,14.0,0.0,14.0,1,routed,1
w295003790,"Бендеры, улица Кавриаго, 39",Бендеры,routed,1.06,1.0601,1.0601,0.767,False,0.0,14.0,0.0,14.0,1,routed,1
w295003791,"Бендеры, улица Шестакова, 72",Бендеры,routed,1.009,1.0079,1.0079,0.745,False,0.0,14.0,0.0,14.0,1,routed,1
w295003794,"Бендеры, улица Шестакова, 68",Бендеры,routed,0.973,0.971,0.971,0.713,False,0.0,14.0,0.0,14.0,1,routed,1
w295004044,"Бендеры, улица Шестакова, 68A",Бендеры,routed,0.949,0.9473,0.9473,0.69,False,0.0,14.0,0.0,14.0,1,routed,1
w295004046,"Бендеры, улица Шестакова, 70",Бендеры,routed,0.985,0.9839,0.9839,0.719,False,0.0,14.0,0.0,14.0,1,routed,1
w295004054,"Бендеры, улица Шестакова, 44",Бендеры,routed,0.896,0.8947,0.8947,0.64,False,0.0,14.0,0.0,14.0,1,routed,1
w295004059,"Бендеры, Комсомольская улица, 63",Бендеры,routed,0.904,0.878,0.878,0.647,False,0.0,14.0,0.0,14.0,1,routed,1
w295009405,"Бендеры, улица Георге Асаке, 10",Бендеры,routed,2.435,2.4343,2.4343,1.383,False,0.0,14.0,0.0,14.0,1,routed,2
w295009406,"Бендеры, улица Георге Асаке, 12",Бендеры,routed,2.41,2.4094,2.4094,1.403,False,0.0,14.0,0.0,14.0,1,routed,2
w295009407,"Бендеры, улица Георге Асаке, 14",Бендеры,routed,2.393,2.393,2.393,1.412,False,0.0,14.0,0.0,14.0,1,routed,2
w295020165,"Бендеры, Коммунистическая улица, 45",Бендеры,routed,0.491,0.4917,0.4917,0.381,False,0.0,14.0,0.0,14.0,1,routed,1
w295020170,"Бендеры, улица Калинина, 30",Бендеры,routed,1.378,1.1637,1.3783,0.381,False,0.0,14.0,0.0,14.0,1,routed,1
w295020171,"Бендеры, Коммунистическая улица, 48",Бендеры,routed,0.564,0.5634,0.5634,0.494,False,0.0,14.0,0.0,14.0,1,routed,1
w295020172,"Бендеры, Коммунистическая улица, 46",Бендеры,routed,0.575,0.5754,0.5754,0.494,False,0.0,14.0,0.0,14.0,1,routed,1
w295020173,"Бендеры, Коммунистическая улица, 44",Бендеры,routed,0.585,0.5851,0.5851,0.484,False,0.0,14.0,0.0,14.0,1,routed,1
w295020174,"Бендеры, Коммунистическая улица, 42",Бендеры,routed,0.601,0.6009,0.6009,0.492,False,0.0,14.0,0.0,14.0,1,routed,1
w295020177,"Бендеры, Коммунистическая улица, 40",Бендеры,routed,0.614,0.6146,0.6146,0.502,False,0.0,14.0,0.0,14.0,1,routed,1
w295020179,"Бендеры, Коммунистическая улица, 38",Бендеры,routed,0.636,0.6361,0.6361,0.518,False,0.0,14.0,0.0,14.0,1,routed,1
w295020180,"Бендеры, Коммунистическая улица, 36",Бендеры,routed,0.647,0.6475,0.6475,0.529,False,0.0,14.0,0.0,14.0,1,routed,1
w295020182,"Бендеры, Коммунистическая улица, 34",Бендеры,routed,0.663,0.6628,0.6628,0.54,False,0.0,14.0,0.0,14.0,1,routed,1
